node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency,parsing,processing,sending_time,functions
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,60996.24327492714,0,,0,60996.282948970795,,3.54,41.98,11271.16,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61012.58414411545,0,,0,0,,1.08,1.90,25.18,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61012.638215065,0,,0,0,,0.09,1.48,20.47,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.08,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61012.76625204086,0,,0,0,,0.08,0.64,20.21,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61012.79640007019,0,,0,0,,0.04,0.77,21.33,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61012.86853790283,0,,0,0,,0.08,1.24,23.19,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61012.894361019135,0,,0,0,,0.02,0.61,22.99,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.10,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61012.937141895294,0,,0,0,,0.10,0.31,24.46,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61012.980737924576,0,,0,0,,0.04,0.78,21.03,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61013.043154001236,0,,0,0,,0.04,0.87,22.78,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61013.08442592621,0,,0,0,,0.05,0.49,25.32,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61013.14441204071,0,,0,0,,0.04,0.56,20.90,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61013.18187999725,0,,0,0,,0.04,0.19,20.96,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61013.23370909691,0,,0,0,,0.06,0.92,22.26,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.09,[]
