node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency,parsing_time,processing_time,send_time,functions
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66271.98106789589,0,,0,66272.00500202179,,3.68,28.50,11238.33,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.06763911247,0,,0,0,,0.17,1.05,21.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.11164903641,0,,0,0,,0.04,0.92,21.13,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.18708395958,0,,0,0,,0.04,0.90,21.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.21878290176,0,,0,0,,0.03,0.82,21.42,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.28287005424,0,,0,0,,0.06,0.94,25.14,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.10,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.36817789078,0,,0,0,,0.06,0.92,20.32,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,22.79,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.40033888817,0,,0,0,,0.04,0.54,21.70,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.46145009995,0,,0,0,,0.05,1.07,22.44,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.08,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.54400491714,0,,0,0,,0.07,0.72,22.25,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.08,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.6033399105,0,,0,0,,0.04,0.62,25.10,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.66242003441,0,,0,0,,0.08,1.30,22.85,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.69305610657,0,,0,0,,0.03,0.48,25.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,21.19,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.75814890862,0,,0,0,,0.04,0.58,25.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.80909490585,0,,0,0,,0.03,0.64,20.51,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.8576540947,0,,0,0,,0.04,0.86,21.36,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.91059708595,0,,0,0,,0.05,0.53,21.42,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66288.94234704971,0,,0,0,,0.04,0.58,20.66,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66289.00469398499,0,,0,0,,0.04,0.52,22.03,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66289.04192304611,0,,0,0,,0.03,0.44,21.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66289.1081840992,0,,0,0,,0.04,0.55,21.71,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66289.14016199112,0,,0,0,,0.03,0.51,25.13,[]
