node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency
/dlsu/goks/cam,/dlsu/goks/cam/capture8.jpg,0.000000,217735.574780941,0,,0,217735.5787780285,
/dlsu/goks,/dlsu/goks/cam/capture8.jpg,43.781281,0,217735.57403111458,,217735.6208679676,0,
/dlsu,/dlsu/goks/cam/capture8.jpg,49.106121,0,217735.57285809517,,217735.62517905235,0,
user1,/dlsu/goks/cam/capture8.jpg,49.794912,0,217735.5714700222,,217735.62587809563,0,
user2,/dlsu/goks/cam/capture8.jpg,53.443670,0,217735.570417881,,217735.62822389603,0,
user3,/dlsu/goks/cam/capture8.jpg,58.901548,0,217735.5723719597,,217735.62912607193,0,
/dlsu/goks/cam,/dlsu/goks/cam/capture11.jpg,0.000000,217750.57213401794,0,,0,217750.60655093193,
/dlsu/goks,/dlsu/goks/cam/capture11.jpg,1123.956442,0,217750.5714840889,,217751.69870495796,0,
/dlsu,/dlsu/goks/cam/capture11.jpg,1170.662403,0,217750.5702779293,,217751.74330091476,0,
user1,/dlsu/goks/cam/capture11.jpg,1190.623760,0,217750.56912207603,,217751.76153707504,0,
user2,/dlsu/goks/cam/capture11.jpg,1197.081566,0,217750.56746292114,,217751.7665040493,0,
user3,/dlsu/goks/cam/capture11.jpg,1200.191259,0,217750.56655788422,,217751.76697206497,0,
/dlsu/goks/cam,/dlsu/goks/cam/capture8.jpg,0.000000,218111.01503396034,0,,0,218111.05198597908,
/dlsu/goks,/dlsu/goks/cam/capture8.jpg,79.603672,0,218111.0137140751,,218111.1012148857,0,
/dlsu,/dlsu/goks/cam/capture8.jpg,93.749523,0,218111.01164603233,,218111.11317801476,0,
user1,/dlsu/goks/cam/capture8.jpg,101.714134,0,218111.00888991356,,218111.13208699226,0,
user3,/dlsu/goks/cam/capture8.jpg,133.955479,0,218111.00657606125,,218111.1354150772,0,
user2,/dlsu/goks/cam/capture8.jpg,129.367113,0,218111.00300002098,,218111.1397960186,0,
/dlsu/goks/cam,/dlsu/goks/cam/capture11.jpg,0.000000,218123.40626597404,0,,0,218123.47401595116,
/dlsu/goks,/dlsu/goks/cam/capture11.jpg,1262.434483,0,218123.40306901932,,218124.67454004288,0,
/dlsu,/dlsu/goks/cam/capture11.jpg,1291.013956,0,218123.4016149044,,218124.6963980198,0,
user1,/dlsu/goks/cam/capture11.jpg,1294.600487,0,218123.39925599098,,218124.69780492783,0,
user2,/dlsu/goks/cam/capture11.jpg,1304.771423,0,218123.3953781128,,218124.70415592194,0,
user3,/dlsu/goks/cam/capture11.jpg,1312.222242,0,218123.39343810081,,218124.70633292198,0,
/dlsu/goks/cam,/dlsu/goks/cam/capture8.jpg,0.000000,218164.9782409668,0,,0,218164.98233795166,
/dlsu/goks,/dlsu/goks/cam/capture8.jpg,42.490244,0,218164.97729492188,,218165.02221608162,0,
/dlsu,/dlsu/goks/cam/capture8.jpg,46.076536,0,218164.97586107254,,218165.02430009842,0,
user1,/dlsu/goks/cam/capture8.jpg,47.611475,0,218164.97445106506,,218165.02645802498,0,
user2,/dlsu/goks/cam/capture8.jpg,51.550388,0,218164.97315311432,,218165.02802300453,0,
user3,/dlsu/goks/cam/capture8.jpg,57.063341,0,218164.9744770527,,218165.0288579464,0,
/dlsu/goks/cam,/dlsu/goks/cam/capture11.jpg,0.000000,218173.24417805672,0,,0,218173.27961802483,
/dlsu/goks,/dlsu/goks/cam/capture11.jpg,1120.157719,0,218173.24356603622,,218174.36701893806,0,
/dlsu,/dlsu/goks/cam/capture11.jpg,1165.409088,0,218173.24274110794,,218174.4100830555,0,
user1,/dlsu/goks/cam/capture11.jpg,1178.179741,0,218173.24117207527,,218174.4214169979,0,
user2,/dlsu/goks/cam/capture11.jpg,1179.582596,0,218173.23977088928,,218174.42182803154,0,
user3,/dlsu/goks/cam/capture11.jpg,1185.064316,0,218173.23893594742,,218174.42475795746,0,
/dlsu/goks/cam,/dlsu/goks/cam/capture8.jpg,0.000000,218206.53399896622,0,,0,218206.53787493706,
/dlsu/goks,/dlsu/goks/cam/capture8.jpg,44.806719,0,218206.5333108902,,218206.58141207695,0,
/dlsu,/dlsu/goks/cam/capture8.jpg,51.767588,0,218206.5320649147,,218206.58649396896,0,
user1,/dlsu/goks/cam/capture8.jpg,53.579092,0,218206.530905962,,218206.5896279812,0,
user2,/dlsu/goks/cam/capture8.jpg,57.034492,0,218206.52982711792,,218206.59150910378,0,
user3,/dlsu/goks/cam/capture8.jpg,62.174559,0,218206.5325129032,,218206.5910820961,0,
/dlsu/goks/cam,/dlsu/goks/cam/capture11.jpg,0.000000,218217.16253900528,0,,0,218217.19843506813,
/dlsu/goks,/dlsu/goks/cam/capture11.jpg,1136.626244,0,218217.16205310822,,218218.30185890198,0,
/dlsu,/dlsu/goks/cam/capture11.jpg,1171.501637,0,218217.16120910645,,218218.33514404297,0,
user1,/dlsu/goks/cam/capture11.jpg,1182.922840,0,218217.15963888168,,218218.34453606606,0,
user2,/dlsu/goks/cam/capture11.jpg,1187.654734,0,218217.15844202042,,218218.34787988663,0,
user3,/dlsu/goks/cam/capture11.jpg,1190.052986,0,218217.1580440998,,218218.34863209724,0,
/dlsu/goks/cam,/dlsu/goks/cam/capture8.jpg,0.000000,218246.88876008987,0,,0,218246.89322400093,
/dlsu/goks,/dlsu/goks/cam/capture8.jpg,44.597626,0,218246.88785290718,,218246.93530988693,0,
/dlsu,/dlsu/goks/cam/capture8.jpg,49.472809,0,218246.88669109344,,218246.93941807747,0,
